frame,north,south,east,west,phase,time
764,0,3,0,15,EW,13
765,0,2,0,15,EW,12
766,0,0,0,15,EW,12
767,0,0,0,15,EW,11
768,0,0,0,15,EW,11
769,0,0,0,15,EW,10
770,0,0,0,15,EW,10
771,0,0,0,15,EW,9
772,0,0,0,15,EW,9
773,0,0,0,15,EW,8
774,0,0,0,15,EW,8
775,0,0,0,15,EW,7
776,0,3,0,15,EW,7
777,0,3,0,15,EW,6
778,0,6,0,15,EW,6
779,0,6,0,15,EW,5
780,0,9,0,18,EW,5
781,0,6,0,18,NS,28
782,0,9,0,18,EW,4
783,0,13,0,18,EW,3
784,0,2,0,18,NS,21
785,0,3,0,18,EW,2
786,0,4,0,18,EW,2
787,0,5,0,15,NS,25
788,0,5,0,15,NS,25
789,0,0,0,15,EW,0
790,0,0,0,15,NS,20
791,0,0,0,15,NS,19
792,0,0,0,15,NS,19
793,0,0,0,15,NS,18
794,0,0,0,15,NS,18
795,0,3,0,15,NS,23
796,0,3,0,15,NS,23
797,0,9,0,15,NS,25
798,0,12,0,15,NS,33
799,0,15,0,15,NS,29
800,0,15,0,15,NS,29
801,0,6,0,15,NS,25
802,0,18,0,15,NS,35
803,0,18,0,15,NS,34
804,0,18,0,15,NS,34
805,0,18,0,15,NS,33
806,0,19,0,15,NS,34
807,0,17,0,15,NS,32
808,0,17,0,15,NS,32
809,0,16,0,15,NS,30
810,0,15,0,15,NS,24
811,0,18,0,15,NS,30
812,0,18,0,15,NS,30
813,0,18,0,15,NS,29
814,0,18,0,15,NS,29
815,0,18,0,15,NS,28
816,0,15,0,15,NS,21
817,0,15,0,15,NS,20
818,3,15,0,15,NS,27
819,6,15,0,15,NS,28
820,9,15,0,15,NS,29
821,0,15,0,15,NS,18
822,0,15,0,15,NS,18
823,0,15,0,0,NS,42
824,0,15,0,0,NS,42
825,0,15,12,3,NS,16
826,0,15,15,6,NS,18
827,0,15,15,6,NS,17
828,0,15,15,9,NS,16
829,0,15,0,12,NS,22
830,3,15,1,15,NS,21
831,3,15,1,15,NS,20
832,3,15,1,15,NS,20
833,3,15,4,15,NS,17
834,3,0,7,15,NS,2
835,0,0,9,15,EW,56
836,0,0,6,15,EW,56
837,1,0,9,15,EW,55
838,1,0,12,15,EW,55
839,1,0,15,15,EW,54
840,2,0,0,15,EW,54
841,2,0,0,15,EW,53
842,1,0,3,15,EW,53
843,0,3,6,15,EW,46
844,0,3,9,15,EW,52
845,0,3,6,15,EW,45
846,0,6,0,15,NS,3
847,0,9,0,15,NS,0
848,0,6,3,15,EW,44
849,0,9,6,15,EW,43
850,1,6,6,15,EW,43
851,1,0,4,15,EW,42
852,1,0,1,15,EW,48
853,1,0,1,15,EW,47
854,1,0,1,15,EW,47
855,0,0,1,15,EW,46
856,0,0,0,15,EW,46
857,0,0,0,15,EW,45
858,3,3,0,15,EW,45
859,3,6,0,15,EW,38
860,0,9,0,15,EW,38
